"ngb","Medal_Type","Medals_Won"
"American Canoe Association","Gold",4
"American Canoe Association","Silver",3
"American Canoe Association","Bronze",1
"American Canoe Association","Total",8
"National Wheelchair Basketball Association","Gold",2
"National Wheelchair Basketball Association","Silver",1
"National Wheelchair Basketball Association","Bronze",1
"National Wheelchair Basketball Association","Total",4
"Paralympic Alpine Skiing (USOPC)","Gold",0
"Paralympic Alpine Skiing (USOPC)","Silver",1
"Paralympic Alpine Skiing (USOPC)","Bronze",0
"Paralympic Alpine Skiing (USOPC)","Total",1
"Paralympic Cycling (USOPC)","Gold",10
"Paralympic Cycling (USOPC)","Silver",8
"Paralympic Cycling (USOPC)","Bronze",8
"Paralympic Cycling (USOPC)","Total",26
"Paralympic Nordic Skiing (USOPC)","Gold",1
"Paralympic Nordic Skiing (USOPC)","Silver",6
"Paralympic Nordic Skiing (USOPC)","Bronze",1
"Paralympic Nordic Skiing (USOPC)","Total",8
"Paralympic Powerlifting (Logan University)","Gold",0
"Paralympic Powerlifting (Logan University)","Silver",1
"Paralympic Powerlifting (Logan University)","Bronze",0
"Paralympic Powerlifting (Logan University)","Total",1
"Paralympic Snowboard (USOPC)","Gold",1
"Paralympic Snowboard (USOPC)","Silver",2
"Paralympic Snowboard (USOPC)","Bronze",1
"Paralympic Snowboard (USOPC)","Total",4
"Paralympic Swimming (USOPC)","Gold",27
"Paralympic Swimming (USOPC)","Silver",25
"Paralympic Swimming (USOPC)","Bronze",42
"Paralympic Swimming (USOPC)","Total",94
"Paralympic Track & Field (USOPC)","Gold",36
"Paralympic Track & Field (USOPC)","Silver",43
"Paralympic Track & Field (USOPC)","Bronze",29
"Paralympic Track & Field (USOPC)","Total",108
"US Association of Blind Athletes","Gold",0
"US Association of Blind Athletes","Silver",3
"US Association of Blind Athletes","Bronze",1
"US Association of Blind Athletes","Total",4
"US Biathlon Association","Gold",3
"US Biathlon Association","Silver",2
"US Biathlon Association","Bronze",1
"US Biathlon Association","Total",6
"US Bowling Congress","Gold",3
"US Bowling Congress","Silver",0
"US Bowling Congress","Bronze",1
"US Bowling Congress","Total",4
"US Equestrian Federation","Gold",5
"US Equestrian Federation","Silver",4
"US Equestrian Federation","Bronze",4
"US Equestrian Federation","Total",13
"US Figure Skating","Gold",1
"US Figure Skating","Silver",1
"US Figure Skating","Bronze",1
"US Figure Skating","Total",3
"US Sailing","Gold",2
"US Sailing","Silver",3
"US Sailing","Bronze",2
"US Sailing","Total",7
"US Ski and Snowboard Association","Gold",5
"US Ski and Snowboard Association","Silver",7
"US Ski and Snowboard Association","Bronze",3
"US Ski and Snowboard Association","Total",15
"US Soccer Federation","Gold",0
"US Soccer Federation","Silver",0
"US Soccer Federation","Bronze",1
"US Soccer Federation","Total",1
"US Speedskating","Gold",1
"US Speedskating","Silver",0
"US Speedskating","Bronze",2
"US Speedskating","Total",3
"US Squash","Gold",5
"US Squash","Silver",1
"US Squash","Bronze",1
"US Squash","Total",7
"US Tennis Association","Gold",2
"US Tennis Association","Silver",3
"US Tennis Association","Bronze",2
"US Tennis Association","Total",7
"USA Archery","Gold",3
"USA Archery","Silver",2
"USA Archery","Bronze",3
"USA Archery","Total",8
"USA Artistic Swimming","Gold",0
"USA Artistic Swimming","Silver",0
"USA Artistic Swimming","Bronze",2
"USA Artistic Swimming","Total",2
"USA Badminton","Gold",0
"USA Badminton","Silver",3
"USA Badminton","Bronze",2
"USA Badminton","Total",5
"USA Baseball","Gold",0
"USA Baseball","Silver",1
"USA Baseball","Bronze",0
"USA Baseball","Total",1
"USA Basketball","Gold",5
"USA Basketball","Silver",1
"USA Basketball","Bronze",1
"USA Basketball","Total",7
"USA Bobsled & Skeleton","Gold",1
"USA Bobsled & Skeleton","Silver",1
"USA Bobsled & Skeleton","Bronze",1
"USA Bobsled & Skeleton","Total",3
"USA Boccia","Gold",0
"USA Boccia","Silver",0
"USA Boccia","Bronze",0
"USA Boccia","Total",0
"USA Boxing","Gold",2
"USA Boxing","Silver",6
"USA Boxing","Bronze",6
"USA Boxing","Total",14
"USA Climbing","Gold",0
"USA Climbing","Silver",1
"USA Climbing","Bronze",0
"USA Climbing","Total",1
"USA Curling","Gold",0
"USA Curling","Silver",0
"USA Curling","Bronze",0
"USA Curling","Total",0
"USA Cycling","Gold",8
"USA Cycling","Silver",2
"USA Cycling","Bronze",2
"USA Cycling","Total",12
"USA Diving","Gold",1
"USA Diving","Silver",4
"USA Diving","Bronze",5
"USA Diving","Total",10
"USA Fencing","Gold",11
"USA Fencing","Silver",0
"USA Fencing","Bronze",2
"USA Fencing","Total",13
"USA Field Hockey","Gold",0
"USA Field Hockey","Silver",0
"USA Field Hockey","Bronze",2
"USA Field Hockey","Total",2
"USA Golf","Gold",4
"USA Golf","Silver",0
"USA Golf","Bronze",0
"USA Golf","Total",4
"USA Gymnastics","Gold",10
"USA Gymnastics","Silver",13
"USA Gymnastics","Bronze",8
"USA Gymnastics","Total",31
"USA Hockey","Gold",1
"USA Hockey","Silver",1
"USA Hockey","Bronze",0
"USA Hockey","Total",2
"USA Judo","Gold",0
"USA Judo","Silver",3
"USA Judo","Bronze",7
"USA Judo","Total",10
"USA Karate","Gold",5
"USA Karate","Silver",1
"USA Karate","Bronze",2
"USA Karate","Total",8
"USA Luge","Gold",0
"USA Luge","Silver",0
"USA Luge","Bronze",0
"USA Luge","Total",0
"USA Pentathlon","Gold",2
"USA Pentathlon","Silver",2
"USA Pentathlon","Bronze",0
"USA Pentathlon","Total",4
"USA Racquetball","Gold",0
"USA Racquetball","Silver",0
"USA Racquetball","Bronze",4
"USA Racquetball","Total",4
"USA Roller Sports","Gold",0
"USA Roller Sports","Silver",1
"USA Roller Sports","Bronze",1
"USA Roller Sports","Total",2
"USA Rugby","Gold",0
"USA Rugby","Silver",1
"USA Rugby","Bronze",1
"USA Rugby","Total",2
"USA Shooting","Gold",18
"USA Shooting","Silver",11
"USA Shooting","Bronze",6
"USA Shooting","Total",35
"USA Skateboarding","Gold",0
"USA Skateboarding","Silver",0
"USA Skateboarding","Bronze",2
"USA Skateboarding","Total",2
"USA Softball","Gold",1
"USA Softball","Silver",2
"USA Softball","Bronze",0
"USA Softball","Total",3
"USA Surfing","Gold",2
"USA Surfing","Silver",1
"USA Surfing","Bronze",2
"USA Surfing","Total",5
"USA Swimming","Gold",32
"USA Swimming","Silver",26
"USA Swimming","Bronze",17
"USA Swimming","Total",75
"USA Table Tennis","Gold",3
"USA Table Tennis","Silver",6
"USA Table Tennis","Bronze",5
"USA Table Tennis","Total",14
"USA Taekwondo","Gold",6
"USA Taekwondo","Silver",1
"USA Taekwondo","Bronze",7
"USA Taekwondo","Total",14
"USA Team Handball","Gold",0
"USA Team Handball","Silver",0
"USA Team Handball","Bronze",0
"USA Team Handball","Total",0
"USA Track & Field","Gold",14
"USA Track & Field","Silver",26
"USA Track & Field","Bronze",19
"USA Track & Field","Total",59
"USA Triathlon","Gold",3
"USA Triathlon","Silver",3
"USA Triathlon","Bronze",1
"USA Triathlon","Total",7
"USA Volleyball","Gold",5
"USA Volleyball","Silver",1
"USA Volleyball","Bronze",0
"USA Volleyball","Total",6
"USA Water Polo","Gold",3
"USA Water Polo","Silver",0
"USA Water Polo","Bronze",0
"USA Water Polo","Total",3
"USA Water Ski & Wake Sports","Gold",5
"USA Water Ski & Wake Sports","Silver",2
"USA Water Ski & Wake Sports","Bronze",1
"USA Water Ski & Wake Sports","Total",8
"USA Weightlifting","Gold",2
"USA Weightlifting","Silver",2
"USA Weightlifting","Bronze",3
"USA Weightlifting","Total",7
"USA Wheelchair Rugby","Gold",1
"USA Wheelchair Rugby","Silver",1
"USA Wheelchair Rugby","Bronze",0
"USA Wheelchair Rugby","Total",2
"USA Wrestling","Gold",12
"USA Wrestling","Silver",4
"USA Wrestling","Bronze",8
"USA Wrestling","Total",24
"USRowing","Gold",0
"USRowing","Silver",2
"USRowing","Bronze",1
"USRowing","Total",3
